"GEO_ID","GEO_ID_F","NAME","SVY_COMP","SVY_COMP_LABEL","YEAR","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT","AMOUNT_FORMATTED"
"id","Geo Footnote","Geographic Area Name","Survey Component","Survey Component","Year","Aggregate Description","Meaning of Aggregate Description","Type of Government","Type of Government","Amount","Amount Formatted"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2015","CSSGAP","Elementary-secondary education school system current expenditures Support Services General administration per pupil","001","State and Local ","244.7","245"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2016","CSSGAP","Elementary-secondary education school system current expenditures Support Services General administration per pupil","001","State and Local ","239.9","240"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2017","CSSGAP","Elementary-secondary education school system current expenditures Support Services General administration per pupil","001","State and Local ","244.3","244"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2018","CSSGAP","Elementary-secondary education school system current expenditures Support Services General administration per pupil","001","State and Local ","250.2","250"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2012","CSSISP","Elementary-secondary education school system current expenditures Support Services Instructional staff support per pupil","001","State and Local ","387.6","388"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2013","CSSISP","Elementary-secondary education school system current expenditures Support Services Instructional staff support per pupil","001","State and Local ","400.0","400"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2014","CSSISP","Elementary-secondary education school system current expenditures Support Services Instructional staff support per pupil","001","State and Local ","386.7","387"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2015","CSSISP","Elementary-secondary education school system current expenditures Support Services Instructional staff support per pupil","001","State and Local ","390.9","391"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2016","CSSISP","Elementary-secondary education school system current expenditures Support Services Instructional staff support per pupil","001","State and Local ","393.6","394"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2017","CSSISP","Elementary-secondary education school system current expenditures Support Services Instructional staff support per pupil","001","State and Local ","400.7","401"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2018","CSSISP","Elementary-secondary education school system current expenditures Support Services Instructional staff support per pupil","001","State and Local ","395.9","396"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2012","CSSPSP","Elementary-secondary education school system current expenditures Support Services Pupil support per pupil","001","State and Local ","494.6","495"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2013","CSSPSP","Elementary-secondary education school system current expenditures Support Services Pupil support per pupil","001","State and Local ","502.5","502"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2014","CSSPSP","Elementary-secondary education school system current expenditures Support Services Pupil support per pupil","001","State and Local ","525.7","526"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2015","CSSPSP","Elementary-secondary education school system current expenditures Support Services Pupil support per pupil","001","State and Local ","548.3","548"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2016","CSSPSP","Elementary-secondary education school system current expenditures Support Services Pupil support per pupil","001","State and Local ","567.4","567"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2017","CSSPSP","Elementary-secondary education school system current expenditures Support Services Pupil support per pupil","001","State and Local ","599.0","599"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2018","CSSPSP","Elementary-secondary education school system current expenditures Support Services Pupil support per pupil","001","State and Local ","621.6","622"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2012","CSSSAP","Elementary-secondary education school system current expenditures Support Services School administration per pupil","001","State and Local ","528.8","529"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2013","CSSSAP","Elementary-secondary education school system current expenditures Support Services School administration per pupil","001","State and Local ","538.4","538"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2014","CSSSAP","Elementary-secondary education school system current expenditures Support Services School administration per pupil","001","State and Local ","559.7","560"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2015","CSSSAP","Elementary-secondary education school system current expenditures Support Services School administration per pupil","001","State and Local ","567.9","568"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2016","CSSSAP","Elementary-secondary education school system current expenditures Support Services School administration per pupil","001","State and Local ","572.9","573"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2017","CSSSAP","Elementary-secondary education school system current expenditures Support Services School administration per pupil","001","State and Local ","594.3","594"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2018","CSSSAP","Elementary-secondary education school system current expenditures Support Services School administration per pupil","001","State and Local ","606.8","607"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2012","CSSTP","Elementary-secondary education school system current expenditures Support Services Total per pupil","001","State and Local ","3007.7","3008"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2013","CSSTP","Elementary-secondary education school system current expenditures Support Services Total per pupil","001","State and Local ","3112.3","3112"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2014","CSSTP","Elementary-secondary education school system current expenditures Support Services Total per pupil","001","State and Local ","3230.1","3230"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2015","CSSTP","Elementary-secondary education school system current expenditures Support Services Total per pupil","001","State and Local ","3285.6","3286"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2016","CSSTP","Elementary-secondary education school system current expenditures Support Services Total per pupil","001","State and Local ","3320.3","3320"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2017","CSSTP","Elementary-secondary education school system current expenditures Support Services Total per pupil","001","State and Local ","3431.9","3432"
"0400000US01","null","Alabama","06","Annual Survey of School System Finance","2018","CSSTP","Elementary-secondary education school system current expenditures Support Services Total per pupil","001","State and Local ","3526.6","3527"
"0400000US02","null","Alaska","06","Annual Survey of School System Finance","2012","CSFEBP","Elementary-secondary education school system current expenditures Employee benefits per pupil","001","State and Local ","7330.2","7330"
